BARRID,SED-CUS,LOCID,NAME,HBETA,PBETA,SRISK%,TRISK%,COUNTRY,BETA,MOMENTUM,SIZE,EARNYILD,RESVOL,GROWTH,BTOP,LEVERAGE,LIQUIDTY,SIZENL,INDNAME,IND,PRICE,CAPITALIZATION,YLD%,ESTU,ISOCURR,INTRA_MONTH_ADDITION,
CHNAQ41,,CN000601,GUANGDONGSHAONENGGROUPCOLTD,0.791,0.933,37.189,43.720,1.000,-0.735,0.246,-1.672,0.656,0.182,-0.252,0.585,2.041,-0.234,1.013,UTILITIE,32,6.980,7542250649.620,3.482,1,CNY,0,
CHNAQ42,,CN000601,GUANGDONGSHAONENGGROUPCOLTD,0.791,0.933,37.189,43.720,1.000,-0.735,0.246,-1.672,0.656,0.182,-0.252,0.585,2.041,-0.234,1.013,UTILITIE,32,6.980,7542250649.620,3.482,0,CNY,0,
CHNAQ51,,CN000430,ZHANGJIAJIETOURISMGROUPCOLTD,0.828,0.793,23.592,36.160,1.000,-0.603,-1.165,-2.901,-1.379,-0.806,-2.174,1.047,0.527,-0.955,-1.803,CONSSERV,20,4.990,2020040253.140,0.000,1,CNY,0,
CHNAQ71,,CN000425,XCMGCONSTRUCTIONMACHINERYCOLTD,1.088,1.125,29.638,39.563,1.000,0.317,-0.822,-0.056,1.349,-0.614,1.182,0.880,0.922,0.630,0.310,MACH,11,5.450,42693492943.500,1.103,1,CNY,0,
CHNAQ72,,CN000425,XCMGCONSTRUCTIONMACHINERYCOLTD,1.088,1.125,29.638,39.563,1.000,0.317,-0.822,-0.056,1.349,-0.614,1.182,0.880,0.922,0.630,0.310,MACH,11,5.450,42693492943.500,1.103,0,CNY,0,
CHNAQ81,,CN600743,HUAYUANPROPERTYCOLTD,0.718,0.760,21.715,33.771,1.000,-0.994,-0.861,-2.001,2.433,-1.565,-1.019,2.729,2.488,-1.339,0.662,REALEST,29,2.260,5302187975.240,5.310,1,CNY,0,
CHNAQ82,,CN600743,HUAYUANPROPERTYCOLTD,0.718,0.760,21.715,33.771,1.000,-0.994,-0.861,-2.001,2.433,-1.565,-1.019,2.729,2.488,-1.339,0.662,REALEST,29,2.260,5302187975.240,5.310,0,CNY,0,
CHNAQ91,,CN600750,JIANGZHONGPHARMACEUTICALCOLTD,0.822,0.891,24.982,35.450,1.000,-0.625,-0.901,-1.738,0.693,-0.889,-0.644,0.313,-1.177,-0.246,0.962,HEALTH,26,11.160,7030800000.000,2.676,1,CNY,0,
CHNAQ92,,CN600750,JIANGZHONGPHARMACEUTICALCOLTD,0.822,0.891,24.982,35.450,1.000,-0.625,-0.901,-1.738,0.693,-0.889,-0.644,0.313,-1.177,-0.246,0.962,HEALTH,26,11.160,7030800000.000,2.676,0,CNY,0,
CHNAQA1,,CN000023,SHENZHENUNIVERSEGROUPCOLTD,0.775,0.903,38.482,47.056,1.000,-0.791,-0.369,-2.737,-0.750,0.769,0.410,-0.785,-0.606,-0.959,-1.164,CONMAT,3,17.350,2407420764.000,0.058,1,CNY,0,
CHNAQB1,,CN600746,JIANGSUSOPOCHEMICALCOLTD,0.864,1.075,49.580,56.847,1.000,-0.476,-1.650,-1.457,-0.463,0.615,-1.652,-0.147,-1.171,-0.597,1.118,CHEM,2,9.060,9498035598.000,0.000,1,CNY,0,
CHNAQD1,,CN600745,WINGTECHTECHNOLOGYCOLTD,1.432,1.294,40.032,50.373,1.000,1.536,-0.565,0.987,-0.571,-0.155,0.937,-0.713,0.572,1.276,-0.570,HDWRSEMI,31,104.920,130618866736.520,0.142,1,CNY,0,
CHNAQD2,,CN600745,WINGTECHTECHNOLOGYCOLTD,1.434,1.294,40.032,50.373,1.000,1.536,-0.565,0.987,-0.571,-0.155,0.937,-0.713,0.572,1.276,-0.570,HDWRSEMI,31,104.920,130618866736.520,0.142,0,CNY,0,
CHNAQE1,,CN000536,CPTTECHNOLOGY,0.529,1.058,47.273,56.922,1.000,-1.663,-1.772,-1.713,-0.761,2.280,-3.394,1.454,0.936,-0.103,0.982,HDWRSEMI,31,2.610,7219345615.830,0.000,1,CNY,0,
CHNAQE2,,CN000536,CPTTECHNOLOGY,0.529,1.058,47.273,56.922,1.000,-1.663,-1.772,-1.713,-0.761,2.280,-3.394,1.454,0.936,-0.103,0.982,HDWRSEMI,31,2.610,7219345615.830,0.000,0,CNY,0,
CHNAQH1,,CN000606,SHUNLIBANINFORMATIONSERVICECOLT,1.089,1.155,33.904,46.955,1.000,0.322,-2.338,-2.474,0.777,-0.836,2.490,0.399,-1.033,-0.086,-0.325,SOFTWARE,30,4.170,3193383302.010,0.000,1,CNY,0,
