BARRID,SED-CUS,LOCID,NAME,HBETA,PBETA,SRISK%,TRISK%,COUNTRY,BETA,MOMENTUM,SIZE,EARNYILD,RESVOL,GROWTH,BTOP,LEVERAGE,LIQUIDTY,SIZENL,INDNAME,IND,PRICE,CAPITALIZATION,YLD%,ESTU,ISOCURR,INTRA_MONTH_ADDITION,
CHNARO2,,CN600764,CHINAMARINEINFORMATIONELECTCOL,,1.237,33.711,50.869,1.000,-0.019,-1.144,-0.606,-0.420,0.949,2.592,-0.531,-0.463,-0.386,0.833,AERODEF,6,33.300,23663958553.800,0.830,0,CNY,0,
CHNARP1,,CN600765,AVICHEAVYMACHINERYCOLTD,1.327,1.352,39.603,50.533,1.000,1.162,0.553,-0.844,-0.868,0.458,-0.815,-0.284,0.112,1.287,1.000,MACH,11,19.520,18342569996.800,0.245,1,CNY,0,
CHNARP2,,CN600765,AVICHEAVYMACHINERYCOLTD,1.327,1.352,39.603,50.533,1.000,1.162,0.553,-0.844,-0.868,0.458,-0.815,-0.284,0.112,1.287,1.000,MACH,11,19.520,18342569996.800,0.245,0,CNY,0,
CHNARR1,,CN600763,TOPCHOICEMEDICALINVESTMENTCOIN,0.886,0.933,34.666,46.204,1.000,-0.399,2.196,0.467,-1.176,1.587,0.771,-1.312,-0.630,0.488,-0.210,HEALTH,26,233.130,74750803200.000,0.000,1,CNY,0,
CHNARR2,,CN600763,TOPCHOICEMEDICALINVESTMENTCOIN,0.886,0.933,34.666,46.204,1.000,-0.399,2.196,0.467,-1.176,1.587,0.771,-1.312,-0.630,0.488,-0.210,HEALTH,26,233.130,74750803200.000,0.000,0,CNY,0,
CHNART1,,CN600768,NINGBOFUBANGJINGYEGROUPCOLTD,1.100,0.956,32.151,42.875,1.000,0.361,-1.197,-3.322,-0.938,-1.446,-0.595,-0.847,-0.672,-0.108,-2.525,MTLMIN,4,9.620,1286648064.000,0.000,1,CNY,0,
CHNARU1,,CN000630,TONLINGNONFERROUSMET,0.941,0.963,21.751,33.402,1.000,-0.204,-0.202,-0.503,-0.340,-0.725,-0.276,0.727,0.495,0.737,0.746,MTLMIN,4,2.510,26421598603.080,0.370,1,CNY,0,
CHNARU2,,CN000630,TONLINGNONFERROUSMET,0.941,0.963,21.751,33.402,1.000,-0.204,-0.202,-0.503,-0.340,-0.725,-0.276,0.727,0.495,0.737,0.746,MTLMIN,4,2.510,26421598603.080,0.370,0,CNY,0,
CHNARV1,,CN600770,JIANGSUZONGYICOLTD,1.330,1.206,28.844,41.684,1.000,1.172,-1.001,-1.692,0.066,-1.483,-0.849,0.211,-0.933,-0.092,0.999,HDWRSEMI,31,5.680,7384000000.000,0.000,1,CNY,0,
CHNARV2,,CN600770,JIANGSUZONGYICOLTD,1.330,1.206,28.844,41.684,1.000,1.172,-1.001,-1.692,0.066,-1.483,-0.849,0.211,-0.933,-0.092,0.999,HDWRSEMI,31,5.680,7384000000.000,0.000,0,CNY,0,
