InstrumentID,Direction,OffsetFlag,LongPos,TradingDate,StrategyID,AccountID,ShortPos
000561.SZE,0,0,16300,2020-12-09,@hljk1alpha,hljk1alpha,0
000563.SZE,0,0,14900,2020-12-09,@hljk1alpha,hljk1alpha,0
000565.SZE,0,0,22400,2020-12-09,@hljk1alpha,hljk1alpha,0
000567.SZE,0,0,11100,2020-12-09,@hljk1alpha,hljk1alpha,0
000582.SZE,0,0,4500,2020-12-09,@hljk1alpha,hljk1alpha,0
000584.SZE,0,0,17400,2020-12-09,@hljk1alpha,hljk1alpha,0
000586.SZE,0,0,14200,2020-12-09,@hljk1alpha,hljk1alpha,0
000589.SZE,0,0,17700,2020-12-09,@hljk1alpha,hljk1alpha,0
000590.SZE,0,0,11600,2020-12-09,@hljk1alpha,hljk1alpha,0
000592.SZE,0,0,300,2020-12-09,@hljk1alpha,hljk1alpha,0
000593.SZE,0,0,9400,2020-12-09,@hljk1alpha,hljk1alpha,0
000597.SZE,0,0,20200,2020-12-09,@hljk1alpha,hljk1alpha,0
000598.SZE,0,0,22300,2020-12-09,@hljk1alpha,hljk1alpha,0
000599.SZE,0,0,8400,2020-12-09,@hljk1alpha,hljk1alpha,0
000600.SZE,0,0,20500,2020-12-09,@hljk1alpha,hljk1alpha,0
000601.SZE,0,0,16300,2020-12-09,@hljk1alpha,hljk1alpha,0
000603.SZE,0,0,2600,2020-12-09,@hljk1alpha,hljk1alpha,0
000605.SZE,0,0,12700,2020-12-09,@hljk1alpha,hljk1alpha,0
000606.SZE,0,0,27700,2020-12-09,@hljk1alpha,hljk1alpha,0
000607.SZE,0,0,13700,2020-12-09,@hljk1alpha,hljk1alpha,0
000608.SZE,0,0,16500,2020-12-09,@hljk1alpha,hljk1alpha,0
000609.SZE,0,0,10500,2020-12-09,@hljk1alpha,hljk1alpha,0
000610.SZE,0,0,6300,2020-12-09,@hljk1alpha,hljk1alpha,0
000613.SZE,0,0,9500,2020-12-09,@hljk1alpha,hljk1alpha,0
000617.SZE,0,0,15520,2020-12-09,@hljk1alpha,hljk1alpha,0
000619.SZE,0,0,18400,2020-12-09,@hljk1alpha,hljk1alpha,0
000620.SZE,0,0,40000,2020-12-09,@hljk1alpha,hljk1alpha,0
000622.SZE,0,0,24400,2020-12-09,@hljk1alpha,hljk1alpha,0
000626.SZE,0,0,4600,2020-12-09,@hljk1alpha,hljk1alpha,0
000630.SZE,0,0,45100,2020-12-09,@hljk1alpha,hljk1alpha,0
000631.SZE,0,0,40900,2020-12-09,@hljk1alpha,hljk1alpha,0
000632.SZE,0,0,1600,2020-12-09,@hljk1alpha,hljk1alpha,0
000633.SZE,0,0,11600,2020-12-09,@hljk1alpha,hljk1alpha,0
000636.SZE,0,0,3500,2020-12-09,@hljk1alpha,hljk1alpha,0
000637.SZE,0,0,11500,2020-12-09,@hljk1alpha,hljk1alpha,0
000639.SZE,0,0,6328,2020-12-09,@hljk1alpha,hljk1alpha,0
000655.SZE,0,0,7200,2020-12-09,@hljk1alpha,hljk1alpha,0
000657.SZE,0,0,16000,2020-12-09,@hljk1alpha,hljk1alpha,0
000659.SZE,0,0,42600,2020-12-09,@hljk1alpha,hljk1alpha,0
000665.SZE,0,0,22800,2020-12-09,@hljk1alpha,hljk1alpha,0
000668.SZE,0,0,6800,2020-12-09,@hljk1alpha,hljk1alpha,0
000676.SZE,0,0,16600,2020-12-09,@hljk1alpha,hljk1alpha,0
000677.SZE,0,0,5750,2020-12-09,@hljk1alpha,hljk1alpha,0
000678.SZE,0,0,21800,2020-12-09,@hljk1alpha,hljk1alpha,0
000680.SZE,0,0,14600,2020-12-09,@hljk1alpha,hljk1alpha,0
000682.SZE,0,0,11100,2020-12-09,@hljk1alpha,hljk1alpha,0
000685.SZE,0,0,13300,2020-12-09,@hljk1alpha,hljk1alpha,0
000686.SZE,0,0,11400,2020-12-09,@hljk1alpha,hljk1alpha,0
000690.SZE,0,0,16300,2020-12-09,@hljk1alpha,hljk1alpha,0
000691.SZE,0,0,2800,2020-12-09,@hljk1alpha,hljk1alpha,0
000695.SZE,0,0,14300,2020-12-09,@hljk1alpha,hljk1alpha,0
000697.SZE,0,0,2500,2020-12-09,@hljk1alpha,hljk1alpha,0
000701.SZE,0,0,19900,2020-12-09,@hljk1alpha,hljk1alpha,0
000705.SZE,0,0,14900,2020-12-09,@hljk1alpha,hljk1alpha,0
000710.SZE,0,0,1000,2020-12-09,@hljk1alpha,hljk1alpha,0
000711.SZE,0,0,17200,2020-12-09,@hljk1alpha,hljk1alpha,0
000712.SZE,0,0,5400,2020-12-09,@hljk1alpha,hljk1alpha,0
000715.SZE,0,0,20900,2020-12-09,@hljk1alpha,hljk1alpha,0
000716.SZE,0,0,22200,2020-12-09,@hljk1alpha,hljk1alpha,0
000718.SZE,0,0,34800,2020-12-09,@hljk1alpha,hljk1alpha,0
000719.SZE,0,0,15600,2020-12-09,@hljk1alpha,hljk1alpha,0
000720.SZE,0,0,28024,2020-12-09,@hljk1alpha,hljk1alpha,0
000721.SZE,0,0,11200,2020-12-09,@hljk1alpha,hljk1alpha,0
000722.SZE,0,0,900,2020-12-09,@hljk1alpha,hljk1alpha,0
000729.SZE,0,0,200,2020-12-09,@hljk1alpha,hljk1alpha,0
000731.SZE,0,0,22400,2020-12-09,@hljk1alpha,hljk1alpha,0
000735.SZE,0,0,5600,2020-12-09,@hljk1alpha,hljk1alpha,0
000736.SZE,0,0,16300,2020-12-09,@hljk1alpha,hljk1alpha,0
000738.SZE,0,0,5700,2020-12-09,@hljk1alpha,hljk1alpha,0
000739.SZE,0,0,5600,2020-12-09,@hljk1alpha,hljk1alpha,0
000750.SZE,0,0,20200,2020-12-09,@hljk1alpha,hljk1alpha,0
000751.SZE,0,0,15100,2020-12-09,@hljk1alpha,hljk1alpha,0
