NAME,BETA,MOMENTUM,SIZE,EARNYILD,RESVOL,GROWTH,BTOP,LEVERAGE,LIQUIDTY,SIZENL,ENERGY,CHEM,CONMAT,MTLMIN,MATERIAL,AERODEF,BLDPROD,CNSTENG,ELECEQP,INDCONG,MACH,TRDDIST,COMSERV,AIRLINE,MARINE,RDRLTRAN,AUTO,HOUSEDUR,LEISLUX,CONSSERV,MEDIA,RETAIL,PERSPRD,BEV,FOODPROD,HEALTH,BANKS,DVFININS,REALEST,SOFTWARE,HDWRSEMI,UTILITIE,COUNTRY,
MATERIAL,-1.854729,-1.086269,-2.365723,-0.352859,0.348768,0.340407,0.329408,1.197932,-1.777820,-0.036059,-1.288062,21.772398,23.637665,11.081851,70.121570,-2.959228,24.129220,3.404669,13.577622,29.271619,10.639867,9.362488,11.484030,8.684737,18.091939,9.101969,22.227341,19.136082,24.403379,21.091466,9.343181,17.260173,14.147640,21.381113,24.187422,13.798075,-31.583103,-33.834334,2.800492,-1.226341,2.647867,5.794658,-9.068564,
AERODEF,12.601510,-16.039539,-13.176521,-10.438965,7.972580,-4.221571,4.149970,1.390365,10.161438,12.048474,5.527489,10.762688,-0.831784,37.432163,-2.959228,604.516061,16.598770,14.432464,26.993709,68.787440,48.723181,6.673257,9.036109,-16.534284,3.381038,11.242218,42.355536,-12.322774,-8.531200,5.529663,3.193411,-4.614008,-28.019175,-111.748197,9.134933,-29.823858,-27.478888,-16.497320,-8.194167,22.067300,33.945684,10.043173,34.757760,
BLDPROD,-5.822513,1.294164,-0.702541,5.117632,-2.344372,-0.204445,-1.274992,2.576091,-4.848256,0.273145,8.440186,25.707745,99.491836,26.904136,24.129220,16.598770,169.978365,34.430384,16.430205,19.320068,23.135847,10.356077,26.280469,9.128452,27.580128,10.724389,18.655039,46.293210,18.403579,51.553507,-3.498128,10.852850,24.333443,35.821313,33.380505,-2.060925,-36.578193,-42.272503,16.827395,-20.929332,-14.256242,6.640764,-11.190363,
CNSTENG,-4.692721,-0.447559,3.184799,2.106625,-4.734837,-1.787639,2.497192,2.252446,-0.444890,-1.380450,4.971006,7.566392,53.874431,6.156841,3.404669,14.432464,34.430384,72.126185,8.355678,13.882430,16.988830,7.032105,20.266250,1.076452,29.413670,14.080518,1.210901,6.115153,4.928747,16.099298,-1.982465,3.442223,4.177477,-10.138061,10.558224,-11.574810,-20.392769,-18.009583,12.574993,-3.115951,-4.662456,9.458973,-11.250424,
ELECEQP,4.059788,1.539870,-5.323865,-2.060023,5.140248,3.348296,-0.113048,-0.861971,1.125892,0.082594,-5.596780,20.805145,2.817887,4.843221,13.577622,26.993709,16.430205,8.355678,100.553292,32.893143,25.836458,6.888597,12.072432,-2.484680,7.647840,3.804168,49.639309,20.535343,9.165106,0.441765,14.010487,2.009080,-6.192606,-10.086339,-6.978430,1.794782,-36.284426,-56.113388,-12.478334,16.446079,42.473889,21.075667,-7.186105,
INDCONG,4.775407,-5.716889,-5.683864,-0.359420,9.853995,-0.100170,4.806914,1.064128,1.108610,3.536035,14.012911,29.025641,35.574368,15.343773,29.271619,68.787440,19.320068,13.882430,32.893143,424.331364,21.404402,24.388078,11.016062,-5.965356,-13.526520,3.131875,43.342299,11.685678,25.125912,-7.123831,9.465695,18.466306,17.904500,17.220144,51.220962,27.611093,-57.664084,-43.831636,11.725767,-9.907067,-3.469882,15.527318,28.457186,
MACH,2.176066,-3.098594,-2.900839,0.959486,1.813993,0.587721,0.096879,0.820581,1.215649,0.904092,1.254240,17.064855,25.934347,10.489362,10.639867,48.723181,23.135847,16.988830,25.836458,21.404402,37.623206,5.451541,16.401603,4.615912,11.739960,5.659006,33.800458,19.848930,13.075407,10.655007,5.437317,2.306370,5.285676,2.104785,6.896676,0.352475,-28.900508,-31.554484,-2.619985,3.298520,9.963799,6.274770,10.044211,
TRDDIST,0.307425,-3.740137,0.565314,-0.569586,1.163109,-1.019256,2.500227,1.257019,0.254272,1.121644,5.089721,10.637870,9.574717,9.560045,9.362488,6.673257,10.356077,7.032105,6.888597,24.388078,5.451541,50.716984,2.270583,5.364365,29.149877,11.263386,13.369421,4.836083,10.370771,11.498960,3.605834,13.115370,8.619405,5.130344,11.294233,5.247284,-22.192325,-16.458986,9.072605,-5.287401,-0.248493,8.555387,-4.195384,
COMSERV,-0.245762,1.181401,-5.346159,1.574043,2.385356,1.832395,-1.362396,-1.259692,-1.802764,-0.717974,-8.188496,11.433172,25.884644,-9.548058,11.484030,9.036109,26.280469,20.266250,12.072432,11.016062,16.401603,2.270583,77.524314,10.976229,-5.657017,4.064302,6.947873,16.913977,19.295971,14.668342,20.237801,6.303671,20.451288,-7.456078,17.409373,22.826486,-27.201888,-32.598806,0.497685,20.725781,7.311998,12.996056,-6.795582,
AIRLINE,-3.555684,-0.304426,0.405174,2.796270,-1.243723,-0.221742,-0.247431,-0.060746,-1.993630,-1.145702,-6.364811,4.457134,6.468758,-9.004058,8.684737,-16.534284,9.128452,1.076452,-2.484680,-5.965356,4.615912,5.364365,10.976229,123.267042,45.045812,15.610669,7.084039,9.855557,10.204939,23.578164,8.004047,12.174146,11.757590,19.079493,15.865485,10.725270,-9.468609,-19.013197,2.158382,0.960633,-7.240421,2.761699,0.217735,
MARINE,-10.953758,-14.884541,5.087099,4.012571,-17.818388,-7.989967,8.275997,7.142649,3.382437,-3.851118,33.074132,22.292019,35.298773,30.211822,18.091939,3.381038,27.580128,29.413670,7.647840,-13.526520,11.739960,29.149877,-5.657017,45.045812,594.236299,55.372136,35.612311,12.362566,-0.931649,30.304460,-6.545406,11.844167,-22.273463,34.696801,9.790054,-63.321690,-38.776940,-20.981790,7.824485,-29.202606,-8.532241,12.122354,-22.087248,
